deer	bovid/mammal/vertebrate/creature/ungulate/beast/being/animal/organism/fauna/placental/artiodactyl/ruminant/chordate/eutherian/mammalian/bovine/animate_being/eutherian_mammal/placental_mammal/craniate/physical_hoofed_mammal/physical_entity/even-toed_ungulate/artiodactyl_mammal/living_thing			
dog	canine/vertebrate/creature/beast/canid/being/animal/organism/fauna/placental/carnivore/chordate/eutherian/mammal/mammalian/animate_being/eutherian_mammal/locomote/placental_mammal/craniate/domesticated_animal/physical_entity/domestic_animal/living_thing			
dolphin	mammal/cetacean/placental/eutherian/vertebrate/chordate/animal			
donkey	mammal/ungulate/perissodactyl/placental/eutherian/vertebrate/chordate/animal			
dove	bird/neornithine/archosaur/aves/sauropsid/amniote/vertebrate/chordate/animal			
duck	fowl/bird/vertebrate/poultry/creature/beast/being/animal/organism/fauna/poultry/chordate/domestic_fowl/waterfowl/water_fowl/animate_being/anseriform_bird/craniate/living_thing			
duckling	bird/neornithine/archosaur/aves/sauropsid/amniote/vertebrate/chordate/animal			
eagle	raptor/bird/vertebrate/creature/beast/being/animal/organism/fauna/chordate/animate_being/craniate/iving_thing/raptorial_bird/bird_of_prey/			
elk	mammal/ungulate/ruminant/artiodactyl/cervidae/eutherian/vertebrate/chordate/animal			
emu	bird/neornithine/archosaur/aves/sauropsid/amniote/dromaius/vertebrate/chordate/animal			
falcon	raptor/bird/vertebrate/creature/beast/being/animal/organism/fauna/chordate/animate_being/craniate/living_thing/raptorial_bird/bird_of_prey/			
fish	fish/aquatic/vertebrate/chordate/animal			
flamingo	bird/neornithine/archosaur/aves/sauropsid/amniote/vertebrate/chordate/animal			
fox	canine/vertebrate/creature/beast/canid/being/animal/organism/fauna/placental/carnivore/chordate/eutherian/mammal/mammalian/animate_being/eutherian_mammal/locomote/placental_mammal/craniate/domesticated_animal/physical_entity/domestic_animal/living_thing			
frog	amphibian/tetrapod/vertebrate/chordate/animal			
gazelle	mammal/ungulate/ruminant/artiodactyl/eutherian/vertebrate/chordate/animal			
gibbon	primate/vertebrate/creature/beast/being/animal/organism/fauna/placental/chordate/eutherian/mammal/ape/mammalian/animate_being/eutherian_mammal/placental_mammal/craniate/physical_physical_entity/living_thing			
giraffe	mammal/ungulate/ruminant/artiodactyl/eutherian/vertebrate/chordate/animal			
goat	bovid/mammal/vertebrate/ungulate/beast/being/animal/organism/fauna/placental/artiodactyl/chordate/eutherian/mammalian/animate_being/eutherian_mammal/placental_mammal/craniate/hoofed_mammal/even-toed_ungulate/artiodactyl_mammal/living_thing			
goose	fowl/bird/vertebrate/poultry/creature/beast/being/animal/organism/fauna/poultry/chordate/domestic_fowl/waterfowl/water_fowl/animate_being/anseriform_bird/craniate/living_thing			
gorilla	primate/vertebrate/creature/beast/being/animal/organism/fauna/placental/hominid/chordate/eutherian/mammal/ape/mammalian/animate_being/eutherian_mammal/placental_mammal/craniate/physical_physical_entity/living_thing			
guppy	fish/actinopterygian/bonyfish/vertebrate/chordate/animal			
hamster	mammal/rodent/placental/eutherian/vertebrate/chordate/animal			
hare	mammal/lagomorph/placental/eutherian/vertebrate/chordate/animal			
hawk	raptor/bird/vertebrate/creature/beast/being/animal/organism/fauna/chordate/animate_being/craniate/living_thing/raptorial_bird/bird_of_prey/			
hedgehog	mammal/insectivore/placental/eutherian/vertebrate/chordate/animal			
hippopotamus	mammal/ungulate/artiodactyl/placental/eutherian/vertebrate/chordate/animal			
horse	mammal/ungulate/perissodactyl/placental/eutherian/vertebrate/chordate/animal			
human	primate/vertebrate/creature/beast/being/animal/organism/fauna/placental/hominid/chordate/eutherian/mammal/ape/mammalian/animate_being/eutherian_mammal/placental_mammal/craniate/physical_physical_entity/living_thing			
hummingbird	bird/neornithine/archosaur/aves/sauropsid/amniote/vertebrate/chordate/animal			
hyena	mammal/carnivore/feliform/placental/eutherian/vertebrate/chordate/animal			
iguana	reptile/squamate/lizard/amniote/vertebrate/chordate/animal			
jackal	canine/vertebrate/creature/beast/canid/being/animal/organism/fauna/placental/carnivore/chordate/eutherian/mammal/mammalian/animate_being/eutherian_mammal/locomote/placental_mammal/craniate/domesticated_animal/physical_entity/domestic_animal/living_thing			
jaguar	feline/cat/beast/animal/organism/fauna/placental/carnivore/chordate/felid/eutherian/mammal/mammalian/eutherian_mammal/animate_being/placental_mammal/craniate/big_cat			
jellyfish	cnidarian/diploblast/metazoan/animal			
kangaroo	mammal/marsupial/metatherian/vertebrate/chordate/animal			
koala	mammal/marsupial/metatherian/vertebrate/chordate/animal			
krill	crustacean/arthropod/ecdysozoa/protostome/animal			
lemur	mammal/primate/strepsirrhine/placental/eutherian/vertebrate/chordate/animal			
leopard	feline/cat/beast/animal/organism/fauna/placental/carnivore/causal_agent/chordate/felid/eutherian/mammal/mammalian/eutherian_mammal/animate_being/placental_mammal/craniate/big_cat			
lion	feline/cat/beast/animal/organism/fauna/placental/carnivore/chordate/felid/eutherian/mammal/mammalian/eutherian_mammal/animate_being/placental_mammal/craniate/big_cat			
lizard	reptile/diapsid/sauropsid/amniote/vertebrate/chordate/animal			
lobster	crustacean/arthropod/ecdysozoa/protostome/animal			
mamba	snake/reptile/elapid/elapid_snake/serpent/ophidian			
manatee	mammal/sirenian/placental/eutherian/vertebrate/chordate/animal			
meerkat	mammal/carnivore/herpestid/placental/eutherian/vertebrate/chordate/animal			^
mole	mammal/insectivore/placental/eutherian/vertebrate/chordate/animal			
mongoose	mammal/carnivore/herpestid/placental/eutherian/vertebrate/chordate/animal			
moose	mammal/ungulate/ruminant/artiodactyl/eutherian/vertebrate/chordate/animal			
mosquito	insect/dipteran/holometabolous/arthropod/ecdysozoa/protostome/animal			
mouse	rodent/vertebrate/creature/beast/animal/organism/fauna/placental/chordate/eutherian/mammal/mammalian/eutherian_mammal/gnawer/animate_being/living_thing/placental_mammal/craniate/			
octopus	cephalopod/mollusk/lophotrochozoa/protostome/animal			
orangutan	primate/vertebrate/creature/beast/being/animal/organism/fauna/placental/hominid/chordate/eutherian/mammal/ape/mammalian/animate_being/eutherian_mammal/placental_mammal/craniate/physical_physical_entity/living_thing			
ostrich	bird/neornithine/archosaur/aves/sauropsid/amniote/vertebrate/chordate/animal			
owl	raptor/bird/vertebrate/creature/beast/being/animal/organism/fauna/chordate/animate_being/craniate/living_thing/raptorial_bird/bird_of_prey/			
pony	bovid/mammal/horse/vertebrate/creature/beast/animal/organism/fauna/placental/eutherian/mammal/equine/mammalian/equid/living_thing/odd-toed_ungulate/animate_being/eutherian_mammal/perissodactyl/placental_mammal/craniate/hoofed_mammal/physical_entity/perissodactyl_mammal/equus_caballus			
porcupine	rodent/vertebrate/creature/beast/animal/organism/fauna/placental/chordate/eutherian/mammal/mammalian/eutherian_mammal/gnawer/animate_being/living_thing/placental_mammal/craniate/			
quail	fowl/bird/vertebrate/poultry/creature/beast/being/animal/organism/fauna/poultry/chordate/wild_fowl/wildfowl/animate_being/gallinaceous_bird/craniate/gallinacean/living_thing			
rattlesnake	snake/reptile/pit_viper/serpent/ophidian			
squirrel	rodent/vertebrate/creature/beast/animal/organism/fauna/placental/chordate/eutherian/mammal/mammalian/eutherian_mammal/gnawer/animate_being/living_thing/placental_mammal/craniate/			
stegosaurus	dinosaur/reptile/armored_dinosaur/archosaur/archosaurian/archosaurian_reptile/			
tiger	feline/cat/beast/animal/organism/fauna/placental/carnivore/chordate/felid/eutherian/mammal/mammalian/eutherian_mammal/animate_being/placental_mammal/craniate/big_cat			
triceratops	dinosaur/reptile/ceratopsian/horned_dinosaur/archosaur/archosaurian/archosaurian_reptile/			
turkey	fowl/bird/vertebrate/poultry/creature/beast/being/animal/organism/fauna/poultry/chordate/domestic_fowl/animate_being/gallinaceous_bird/craniate/gallinacean/living_thing			
tyrannosaurus	dinosaur/reptile/theropod/theropod_dinosaur/bird-footed_dinosaur/archosaur/archosaurian/archosaurian_reptile/			
velociraptor	dinosaur/reptile/maniraptor/archosaur/archosaurian/archosaurian_reptile/			
viper	snake/reptile/snake/serpent/ophidian			
vulture	raptor/bird/vertebrate/creature/beast/being/animal/organism/fauna/chordate/animate_being/craniate/living_thing/raptorial_bird/bird_of_prey/			
wolf	canine/vertebrate/creature/beast/canid/being/animal/organism/fauna/placental/carnivore/chordate/eutherian/mammal/mammalian/animate_being/eutherian_mammal/locomote/placental_mammal/craniate/domesticated_animal/physical_entity/domestic_animal/living_thing			
