academia	college/university/institute
car	engine/armrest/headrest/grille/hinge/tailpipe/suspension/hood/horn/hooter/petrol/pintle/trunk/floorboard/bar/gas/buffer/door/stabilizer/seat/window/exhaust/tailfin/back/luggage/pedal/cowling/seatbelt/high/wing/gasoline/fin/cowl/silencer/gun/compartment/rear/radiator/accessory/sunroof/roof/lights/bumper/glove/bag/cushion/backrest/accelerator/fender/third/throttle/bonnet/air/gear/muffler/mirror/shock/reverse/anti-sway_bar/tail_fin/accelerator_pedal/car_seat/automobile_horn/anti-sway/automobile_engine/gasoline_engine/car_door/shock_absorber/luggage_compartment/glove_compartment/bumper_guard/exhaust_system/first_gear/high_gear/rear_window/sunshine-roof/third_gear/air_bag/doorlock/petrol_engine/automobile_trunk/auto_accessory/inlet_manifold/horn_button/running_board/stabilizer_bar/motor_horn/exhaust_manifold/exhaust_pipe/radiator_grille/low_gear/flexible_joint/head_restraint/hood_ornament/exhaust_valve/car_mirror/gas_pedal/seat_belt/reverse_gear/car_horn/car_window/suspension_system
castle	donjon/tower/turret/gate/dungeon/moat/keep/great_hall
cat	whiskers/coat/paw/paws/fur/eyes/back/claws/tail/teeth
chair	seat/armrest/headrest/armrests/rest/pad/back/leg/backrest/legs
church	altar/choir/vestry/transept/apse/sanctuary/rood/screen/bema/nave/tower/sacristy/corner/chancel/amen/chapel/apsis/side/narthex/presbytery/side_chapel/lady_chapel/church_tower/rood_screen/amen_corner
clock	power_source/movement/gear_train/escapement/dial/hands/case/crystal/battery_compartment/pendulum
comb	teeth/shaft/grip/tooth/handle
computer	motherboard/CPU/RAM/SSD/HDD/graphics_card/power_supply/case/cooling_system/keyboard/mouse/monitor/network_adapter/expansion_cards/power_cord
couch	frame/armrest/seat_back/seat_cushion/base/leg/upholstery/harness/spring/throw_pillow
cup	rim/lip/handle/body/interior_cavity/base/foot/wall/thickness/glaze/printing
day	hour/forenoon/eventide/nanosecond/noonday/femtosecond/hr/minutes/microsecond/msec/time/midnight/sec/nighttime/min/morning/noon/evening/dark/picosecond/daytime/minute/daylight/s/high/even/quarter/morn/noontide/second/afternoon/twelve/millisecond/midday/midafternoon/attosecond/night/morning_time/high_noon/half-hour/twelve_noon/late-night_hour/early-morning_hour/lights-out/60_minutes/small_hours/30_minutes/15_minutes/quarter-hour
deer	antler/antlers/withers/flag/scut
desk	desktop/leg/frame/drawer/keyboard_tray/modesty_panel/hutch/shelf/cable_management/grommet
dollar	cent
door	hinge/keyhole/threshold/doorframe/bolt/deadbolt/doorjamb/tumbler/doorpost/doorstep/doorcase/case/lock/casing/doorsill
dress	sleeve/slide/plastron/zip/zipper/fastener/hemline/bodice/neckline/waistline/belt/slide_fastener/zip_fastener
engine	cylinder_block/cylinder_head/piston/connecting_rod/crankshaft/camshaft/valve/intake_manifold/exhaust_manifold/oil_pan
envelope	seal_flap/face/back/throat/side_flap/bottom_flap/side_fold/bottom_fold/window/seam
factory	production_area/assembly_line/storage_warehouse/quality_control_lab/office_space/maintenance_room/loading_dock/power_supply/ventilation_system/security_checkpoint
fan	blade/motor/base/guard/oscillation/control_panel/power_cord/tilt/cap/motor_housing
fence	post/panel/picket/rail/gate/latch/hinge/footing/brace/finial
filename	extension/name
flag	fabric/hoist/fly/grommet/eyelet/pole/finial/cord/halyard
flower	petal/leaf/anther/style/perianth/placenta/stamen/pistil/ovary/corolla/carpel/envelope/sepal/calyx/stigma/chlamys/petals/corona/perigonium/perigone/flower_petal/floral_leaf/floral_envelope/gynostegium
forest	trees/shrubs/understory/forest_floor/canopy/branches/leaves/roots/wildlife/soil
fridge	compressor/condenser/evaporator/thermostat/door/door_seal/shelves/drawer/fan/defrost_heater/temperature_control
garden	lawn/flower_bed/vegetable_patch/trees/shrubs/pathway/fence/gate/watering_system/pond
gigabit	megabit/kbit/kb/kilobit/mb/mbit
gramm	milligram/mg/grain/milligram/mcg/carat/microgram/ng/dg/decigram/nanogram/metric_grain/obolus
guitar	string/deck/pegs/fret/strings/frets/peg/fingerboard
gun	trigger/holder/safety/extractor/clip/magazine/barrel/hammer/viewfinder/gunsight/stock/cartridge/remover/chamber/ejector/cock/catch/finder/mechanism/gunstock/lock/action/muzzle/key/gunlock/cartridge_holder/gun_muzzle/gun-sight/action_mechanism/gun_chamber/gun_trigger/firing_mechanism/safety_lock/cartridge_extractor/firing_chamber/cartridge_ejector/view_finder/cartridge_clip/gun_barrel/safety_catch/cartridge_remover
hammer	handle/head/claw/face/neck/poll/grip
harbor	dock/facility/anchorage/landing/docking/dockage/anchorage_ground/docking_facility/landing_place/landing_stage
hat	crown/brim/band/lining/visor/peak/top/button
helmet	visor/liner/chinstrap/shell/earpads/vent/peak/faceguard/neckroll/cushion
house	foundation/walls/roof/door/windows/floor/ceiling/columns/beams/stairs/chimney
jail	cell/cellblock/guard/police/prison_cell/jail_cell
jewellery	bead/stone/wire/beads/gemstone/gem/metal/gold/silver/platina/bead/beads/jewel
kettle	body/lid/spout/lip/handle/base/filter/coil/powercord/knob
knife	blade/edge/spine/tip/heel/point/rivets/handle/tang/butt
lamp	base/stand/pole/stem/arm/socket/bulb/lampshade/harp/finial/switch/cord/plug/reflector/diffuser/dimmer/foot/pull_chain/knob
letter	envelope/stamp/address/return_address/seal/signature/fold/paper/ink/letterhead/postmark/
litre	millilitre/cc/ml/milliliter/cl/dl/deciliter/mil/cubic_centimetre/centiliter/decilitre/cubic_centimeter/centilitre/cubic_millimeter/cubic_millimetre
mirror	glass/reflective_coating/backing/frame/stand/hinge/mounting_bracket/edge/bevel
mountain	peak/summit/ridge/slope/base/foothill/valley/cliff/plateau/crevice/canyon/glacier/snowcap/rock_face
movie	scene/subtitles/footage/credit/episode/shot/sequence/credits/caption
notebook	cover/front_cover/back_cover/spine/binding/pages/paper/lines/margins/holes/ring/spiral/tab/label/pocket/elastic_band
orthography	hyphenation/punctuation/punctuation_mark/word_division/spelling
oven	body/cavity/door/rack/tray/broiler/heating_element/thermostat/control_panel/knob/handle/glass_window/fan/light/gasket/vent
painting	canvas/medium/oil/acrylic/watercolor/pigment/brushstrokes/underpainting/glaze/varnish/frame/signature
pen	barrel/cap/nib/tip/ink/cartridge/refill/feed/grip/clip
photograph	image/print/paper/frame/glossy/matte/subject/portrait/landscape/still life/wildlife/lighting/color/tone/contrast/shadow/highlight
piano	keyboard/clavier/loud/hammer/sounding/pedal/sustaining/soft/fingerboard/soundboard/action/board/key/fallboard/piano_action/action_mechanism/damper_block/fall-board/sounding_board/sustaining_pedal/loud_pedal/piano_damper/piano_keyboard/sound_hole/soft_pedal
pie	crust/cheese/filling/fruit/apple/berries/glazing/pastry/icing
plate	surface/material/metal/ceramic/glass/porcelain/edge/rim/bowl/base/foot/decor/finish/glaze
poem	stanza/canto/prosody/rime/line/rhyme/verse/poetic_rhythm/rhythmic_pattern/verse_line/line_of_verse/line_of_poetry
pub	bar/barroom/taproom/saloon/ginmill
radio	receiver/tuner/radio/demodulator/transmitter/detector/receiving/set/amplifier/wireless/radio_transmitter/receiving_set/radio_receiver/radio_set
railcar	suspension/cushion/shock/shock_absorber/suspension_system
river	source/tributary/stream/riverbed/channel/bank/floodplain/shoreline/estuary/mouth/current/rapids/waterfall/delta
road	surface/pavement/lane/shoulder/curb/median/edge/markings/sidewalk/guardrail/sign/bridge/tunnel/intersection
seafront	harbor/seaport/dock/haven/anchorage/landing/harbour/dockage/anchorage_ground/docking_facility/landing_place/landing_stage
shilling	pence
ship	hull/deck/cabin/bridge/mast/sail/keel/bow/stern/port/starboard/rudder/propeller/anchor/engine
shirt	button/dickie/collar/dickey/sleeve/buttons/dicky/pocket/shirttail/shirtsleeve/shirtfront/shirt_button
shoe	upper/lining/insole/outsole/heel/toe/cap/vamp/quarter/eyelets/laces/tongue/welt/sole
sonata	movement/psrt
spoon	handle/bowl/neck/shaft/rim/edge
staircase	step/riser/landing/tread/stair/stairhead
statue	base/plinth/figure/torso/head/limbs/neck/feet/arms/eyes/marble/bronze/stone/clay/wood/resin/steel/plaster/concrete
sword	blade/forte/hilt/peak/foible/point/pommel/haft/tip/knob/helve/knife_edge/cutting_edge
table	tabletop/tableware/leg/legs
teapot	spout/handle/knob/lid/body/belly/base/filter/tea_filter
telephone	receiver/mouthpiece/dial/wire/screen/display/telephone_receiver
tonne	kilogram/mg/gm/hg/grain/milligram/hundredweight/kilo/mcg/dag/carat/microgram/gramme/quintal/ng/gram/dg/g/kg/decigram/nanogram/myriagram/centner/metric_grain/myg/dekagram/decagram/metric_hundredweight/obolus/doppelzentner/hectogram/dkg
torso	chest/arse/shoulder/bum/midriff/groin/deltoid/diaphragm/lat/pectoralis/behind/gluteus/middle/stomach/teres/thorax/tush/ab/rump/breastbone/buns/gladiolus/haunch/backside/buttocks/serratus/pectoral/stern/navel/paunch/seat/mediastinum/ass/axilla/back/belly/bottom/omphalos/fundament/acromion/derriere/hindgut/gut/gallbladder/saddle/cheek/waist/butt/bowel/keister/bellybutton/pectus/prat/loins/abdominal/rear/dorsum/posterior/venter/small/abdomen/umbilicus/armpit/waistline/sternum/scapula/glute/manubrium/fanny/side/midsection/pecs/hip/buttock/intestine/breast/can/tail/hindquarters/xiphoid_process/thoracic_vertebra/abdominal_wall/musculus_deltoideus/abdominal_cavity/arteria_circumflexa_scapulae/arteria_glutes/arteria_axillaris/axillary_fossa/arteria_colica/articulatio_humeri/shoulder_joint/gall_bladder/spare_tire/arteria_circumflexa_humeri/serratus_muscles/axillary_artery/gluteus_muscle/love_handle/latissimus_dorsi/pectoral_muscle/tooshie/abdominal_muscle/circumflex_humeral_artery/abdominal_aorta/vena_thoracica/musculus_pectoralis/hypochondrium/area_of_cardiac_dullness/glenoid_cavity/rib_cage/thoracic_aorta/omphalus/circumflex_scapular_artery/acromial_process/shoulder_bone/tail_end/rear_end/gluteal_muscle/inguen/shoulder_blade/rotator_cuff/corpus_sternum/dorsal_vertebra/teres_muscle/thoracic_cavity/axillary_cavity/chest_cavity/deltoid_muscle/belly_button/gluteal_artery/thoracic_vein/glenoid_fossa/nates/colic_artery/lumbar_vertebra/hind_end
train	locomotive/caboose/engine/wheels/rails/track/coupler/carriage/door/window/engine compartment/coach/signal_system/railcar
tree	roots/trunk/branches/leaves/flowers/bark/cambium/phloem/xylem/crown
tripod	leg/stand
typewriter	keyboard/typewriter/carriage/tab/ribbon/shift/backspace/action/key/typewriter_carriage/backspace_key/action_mechanism/typewriter_keyboard/shift_key/space_bar/tab_key/typewriter_ribbon/backspacer
window	pane/sash/windowpane/window/fastener/glass/frame/case/windowsill/mullion/jamb/lock/casing/sash_lock/window_glass/sash_fastener/pane_of_glass/window_lock/window_sash/window_frame
womb	cervix/caul/placenta/oviduct/veil/myometrium/endometrium/uterine_artery/embryonic_membrane/uterine_cervix/uterine_cavity/fallopian_tube/uterine_tube/cervix_uteri/arteria_uterina
