able	unable/incapable/incompetent/unequal
slow	fast/quick/accelerated/alacritous/blistering/hot/red-hot/double-quick/express/fast-breaking/fast-paced/fleet/swift/high-speed/high-velocity/hurrying/scurrying/immediate/prompt/quick/straightaway/instantaneous/instant/meteoric/speedy/rapid/winged/windy
small	big/large/huge/gigantic/massive/immense/tall/giant
smooth	rough/coarse/bumpy/textured/uneven/gritty/irregular/jagged/undulating/unsmooth
soft	hard/firm/rigid/strong/solid/stiff/dense/tough/stiff
solid	liquid/gaseous/flowing/fluid/loose
sour	sweet/sugary/honeyed/candied/mellow/pleasing/sugarcoated
sweet	sour/acerb/acerbic/astringent/acetose/acetous/vinegary/vinegarish/acidic/acid/acidulent/acidulous/lemony/lemonlike/sourish/tangy/tart/subacid/bitter
tall	short/low/petite/stunted/mini/dwarfed/undersized/little/miniature
tasty	tasteless/bland/flat/flavorless/flavourless/insipid/savorless/savourless/vapid/unflavored/unflavoured/nonflavored/nonflavoured/unsalted/unseasoned/unappetizing/unappetising/unpalatable
tight	loose/lax/baggy/loose-fitting/sloppy/flyaway/free/liberal/informal/unofficial
tiny	big/large/huge/gigantic/massive/immense/colossal/jumbo/mega/titanic/mighty/vast/majestic/prodigious
ugly	beautiful/attractive/pretty/lovely/handsome/stunning/appealing
unaware	aware/conscious/informed/attentive/observant/mindful
uncooked	cooked/boiled/baked/roasted/grilled/prepared/heated/fryed/steamed/barbecued/braised
unfamiliar	familiar/known/recognized/experienced/established/ordinary/usual/common/normal/regular/typical/standard/conventional
unwilling	willing/ready/enthusiastic/eager/keen/agreeable/keen/amenable
warm	cool/cold/chilly/frosty/cool/frigid
weak	strong/powerful/robust/healthy/sturdy/fit/vigorous/tough/mighty/hard/hefty/stout/dominant
wet	dry/arid/parched/desiccated/moist_free/barren/torrid/dried_out/dried_up/scorched/anhydrous
white	black/dark/lightless
wide	narrow/constricting/constrictive/narrowing/narrowed/narrow-mouthed/slender/thin/strait/straplike/tapered/tapering/limited
willing	unwilling/defiantnoncompliant/involuntary/nonvoluntary/unvoluntary/disinclined/averse/backward/hesitant/indisposed/loath/reluctant/uneager/unwishful
young	old/aged/elderly/older/senior/age/aging/ageing/senescent/ancient/anile/centenarian/darkened/doddering/doddery/gaga/senile/emeritus/grey/gray/grey-haired/gray-haired/grey-headed/gray-headed/grizzly/hoar/hoary/white-haired/middle-aged/nonagenarian/octogenarian/oldish/overage/overaged/superannuated/over-the-hill/sexagenarian/venerable/experienced/experient/mature/senior
